Date/time,Syslog priority,Operation,Message code,Protocol,Source IP,Destination IP,Source hostname,Destination hostname,Source port,Destination port,Destination service,Direction,Connections built,Connections torn down
13/Apr/2011 08:52:52,Info,Built,ASA-session-6-302013,TCP,192.168.2.133,192.168.1.6,(empty),(empty),4873,135,epmap,inbound,1,0
13/Apr/2011 08:52:52,Info,Built,ASA-session-6-302013,TCP,192.168.2.133,192.168.1.6,(empty),(empty),4874,43025,43025_tcp,inbound,1,0
13/Apr/2011 08:52:52,Info,Built,ASA-session-6-302013,TCP,192.168.2.133,192.168.1.6,(empty),(empty),4875,43032,43032_tcp,inbound,1,0
13/Apr/2011 08:52:52,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.133,192.168.1.6,(empty),(empty),4875,43032,43032_tcp,inbound,0,1
13/Apr/2011 08:52:52,Info,Built,ASA-session-6-302013,TCP,192.168.2.133,192.168.1.6,(empty),(empty),4876,135,epmap,inbound,1,0
13/Apr/2011 08:52:52,Info,Built,ASA-session-6-302013,TCP,192.168.2.133,192.168.1.6,(empty),(empty),4877,43025,43025_tcp,inbound,1,0
13/Apr/2011 08:52:53,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.133,192.168.1.14,(empty),(empty),4699,49155,49155_tcp,(empty),0,1
13/Apr/2011 08:52:53,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.133,192.168.1.2,(empty),(empty),4700,49158,49158_tcp,(empty),0,1
13/Apr/2011 08:52:53,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.126,192.168.1.2,(empty),(empty),3337,49155,49155_tcp,(empty),0,1
13/Apr/2011 08:52:53,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.16,192.168.1.6,(empty),(empty),1097,135,epmap,(empty),0,1
13/Apr/2011 08:52:53,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.16,192.168.1.6,(empty),(empty),1099,135,epmap,(empty),0,1
13/Apr/2011 08:52:53,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.16,192.168.1.6,(empty),(empty),1100,43025,43025_tcp,(empty),0,1
13/Apr/2011 08:52:55,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.75,192.168.1.6,(empty),(empty),1048,135,epmap,(empty),0,1
13/Apr/2011 08:52:55,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.75,192.168.1.6,(empty),(empty),1049,43025,43025_tcp,(empty),0,1
13/Apr/2011 08:52:55,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.75,192.168.1.6,(empty),(empty),1051,135,epmap,(empty),0,1
13/Apr/2011 08:52:55,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.75,192.168.1.6,(empty),(empty),1052,43025,43025_tcp,(empty),0,1
13/Apr/2011 08:52:55,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.64,192.168.1.6,(empty),(empty),1694,135,epmap,(empty),0,1
13/Apr/2011 08:52:55,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.64,192.168.1.6,(empty),(empty),1696,43025,43025_tcp,(empty),0,1
13/Apr/2011 08:52:55,Info,Built,ASA-session-6-302013,TCP,192.168.2.85,192.168.1.6,(empty),(empty),1440,43032,43032_tcp,inbound,1,0
13/Apr/2011 08:52:55,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.85,192.168.1.6,(empty),(empty),1440,43032,43032_tcp,inbound,0,1
13/Apr/2011 08:52:55,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.114,192.168.1.2,(empty),(empty),4083,49158,49158_tcp,(empty),0,1
13/Apr/2011 08:52:55,Info,Teardown,ASA-session-6-302014,TCP,192.168.2.114,192.168.1.14,(empty),(empty),4085,49155,49155_tcp,(empty),0,1
